step,aggregate_reward,correctness_reward,n_claims_metric,n_citations_metric,alternation_canary_reward,starts_with_canary_reward,length_band_canary_reward,template_echo_canary_reward
0,0.37141840277777777,0.6666666666666666,0.8791666666666667,0.9208333333333332,0.7791666666666667,0,0.5333333333333333,0
1,0.3676486545138889,0.5833333333333334,0.9869791666666666,0.8411458333333334,0.7760416666666666,0,0.3776041666666667,0
2,0.3445012019230769,0.5384615384615384,0.9855769230769232,0.9567307692307692,0.7451923076923077,0,0.4423076923076923,0
3,0.38037109375,0.25,0.953125,0.9375,0.75,0,0.4296875,0
4,0.47744140625,0.5,1.03125,0.9765625,0.828125,0,0.34375,0.015625
5,0.4932291666666667,0.4,1,0.9333333333333332,0.875,0,0.4875,0.0125
6,0.5542568108974358,0.6153846153846154,1.0048076923076923,0.9903846153846154,0.9134615384615384,0,0.4423076923076923,0.014423076923076924
7,0.5857607886904761,0.35714285714285715,1.0491071428571428,1.0178571428571428,0.9375,0,0.5,0.004464285714285714
8,0.5716517857142857,0.35714285714285715,1,0.9419642857142856,0.9776785714285714,0,0.5133928571428571,0
9,0.6207310267857142,0.42857142857142855,0.9955357142857144,0.9508928571428572,0.9508928571428572,0,0.5535714285714286,0
10,0.646337890625,0.6875,1.0078125,1.015625,0.9609375,0,0.5859375,0.0078125
11,0.6165848214285715,0.42857142857142855,1.0178571428571428,0.9241071428571428,0.9196428571428572,0,0.5892857142857143,0
12,0.6528862847222222,0.3333333333333333,0.9895833333333334,0.9375,0.96875,0,0.545138888888889,0.005208333333333333
13,0.6687662760416666,0.625,1.0234375,0.9921875,0.9921875,0,0.5703125,0
14,0.703794642857143,0.7142857142857143,1,0.9910714285714286,0.9910714285714286,0,0.7232142857142857,0
15,0.6624441964285713,0.42857142857142855,1.0089285714285714,0.9821428571428572,0.9598214285714286,0,0.5625,0
16,0.6740624999999999,0.7333333333333333,0.9833333333333332,0.9833333333333332,0.9666666666666668,0,0.6291666666666667,0
17,0.7000558035714286,0.5714285714285714,1.0089285714285714,1.0089285714285714,1,0,0.6696428571428571,0
18,0.7194791666666666,0.4,0.9833333333333332,0.9916666666666668,0.9833333333333332,0,0.5625,0
19,0.7470833333333332,0.4,1,1.0166666666666666,0.9833333333333332,0,0.6333333333333333,0
